,FEN,Name,ECO,UCI,SAN,White_Win,Draw,Black_Win,Common1,Common2,Common3
0,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,King's Pawn Game,B00,e2e4,e4,3059817,526731,2892766,"['c7c5', 'c5']","['e7e5', 'e5']","['e7e6', 'e6']"
1,rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,French Defense,C00,e7e6,e6,359985,62290,335541,"['d2d4', 'd4']","['g1f3', 'Nf3']","['d2d3', 'd3']"
2,rnbqkbnr/pppp1ppp/4p3/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,French Defense: Normal Variation,C00,d2d4,d4,279872,49214,254280,"['d7d5', 'd5']","['b7b6', 'b6']","['c7c5', 'c5']"
3,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,Queen's Pawn Game,A40,d2d4,d4,1668805,312615,1497025,"['g8f6', 'Nf6']","['d7d5', 'd5']","['e7e6', 'e6']"
4,rnbqkbnr/ppp1pppp/8/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 1 2,Queen's Pawn Game: Zukertort Variation,D02,g1f3,Nf3,141238,29124,119220,"['g8f6', 'Nf6']","['e7e6', 'e6']","['c7c6', 'c6']"
5,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 2 3,Queen's Pawn Game: Symmetrical Variation,D02,g8f6,Nf6,120174,26558,105253,"['c2c4', 'c4']","['c1f4', 'Bf4']","['e2e3', 'e3']"
6,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq - 0 3,Queen's Pawn Game: Colle System,D04,e2e3,e3,19263,4196,18492,"['e7e6', 'e6']","['c7c5', 'c5']","['c8f5', 'Bf5']"
7,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/4PN2/PPP2PPP/RNBQKB1R w KQkq - 1 4,"Queen's Pawn Game: Colle System, Anti-Colle",D04,c8f5,Bf5,3770,826,3631,"['c2c4', 'c4']","['f1d3', 'Bd3']","['f1e2', 'Be2']"
8,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P3N/4P3/PPP2PPP/RNBQKB1R b KQkq - 2 4,VyacheslavHolodov,",",f3h4,Nh4,29,4,28,"['f5g4', 'Bg4']","['f5g6', 'Bg6']","['f5e4', 'Be4']"
9,rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,King's Knight Opening,C40,g1f3,Nf3,605110,104121,553869,"['b8c6', 'Nc6']","['g8f6', 'Nf6']","['d7d6', 'd6']"
10,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,King's Knight Opening: Normal Variation,C44,b8c6,Nc6,470841,80947,432906,"['f1b5', 'Bb5']","['f1c4', 'Bc4']","['d2d4', 'd4']"
11,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,Italian Game,C50,f1c4,Bc4,174744,27717,171176,"['f8c5', 'Bc5']","['g8f6', 'Nf6']","['f8e7', 'Be7']"
12,r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,Italian Game: Two Knights Defense,C55,g8f6,Nf6,73534,12066,77533,"['d2d3', 'd3']","['f3g5', 'Ng5']","['d2d4', 'd4']"
13,r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 5 4,Four Knights Game: Italian Variation,C47,b1c3,Nc3,11306,2119,14835,"['f6e4', 'Nxe4']","['f8c5', 'Bc5']","['f8e7', 'Be7']"
14,rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Caro-Kann Defense,B10,c7c6,c6,347570,66232,326275,"['d2d4', 'd4']","['g1f3', 'Nf3']","['b1c3', 'Nc3']"
15,rnbqkbnr/pp2pppp/2p5/3p4/4P3/2N2Q2/PPPP1PPP/R1B1KBNR b KQkq - 1 3,Caro-Kann Defense: Goldman Variation,B10,d1f3,Qf3,1818,346,1440,"['d5e4', 'dxe4']","['d5d4', 'd4']","['g8f6', 'Nf6']"
16,rnbqkbnr/pppp1ppp/4p3/8/4PP2/8/PPPP2PP/RNBQKBNR b KQkq - 0 2,French Defense: La Bourdonnais Variation,C00,f2f4,f4,6486,922,7614,"['d7d5', 'd5']","['c7c5', 'c5']","['b7b6', 'b6']"
17,rnbqkbnr/p1pppppp/1p6/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Owen Defense,B00,b7b6,b6,18749,2521,15860,"['d2d4', 'd4']","['g1f3', 'Nf3']","['b1c3', 'Nc3']"
18,r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 4,"Italian Game: Two Knights Defense, Modern Bishop's Opening",C55,d2d3,d3,32283,5693,32844,"['f8c5', 'Bc5']","['f8e7', 'Be7']","['h7h6', 'h6']"
19,r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 1 5,"Italian Game: Giuoco Pianissimo, Normal",C50,f8c5,Bc5,22558,4042,23546,"['c2c3', 'c3']","['e1h1', 'O-O']","['b1c3', 'Nc3']"
20,r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/2PP1N2/PP3PPP/RNBQK2R b KQkq - 0 5,"Italian Game: Classical Variation, Giuoco Pianissimo",C54,c2c3,c3,19096,3195,18518,"['d7d6', 'd6']","['e8h8', 'O-O']","['a7a6', 'a6']"
21,rnbqkbnr/pppp1ppp/8/4p3/2P1P3/8/PP1P1PPP/RNBQKBNR b KQkq - 0 2,English Opening: The Whale,C20,c2c4,c4,2257,368,2754,"['g8f6', 'Nf6']","['b8c6', 'Nc6']","['f8c5', 'Bc5']"
22,rnbqkbnr/pp1ppppp/8/2p5/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,Benoni Defense: Old Benoni,A43,c7c5,c5,46191,7812,43799,"['d4d5', 'd5']","['e2e3', 'e3']","['c2c3', 'c3']"
23,rnbqkbnr/pppp1ppp/8/4p3/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,Englund Gambit,A40,e7e5,e5,23197,2925,19832,"['d4e5', 'dxe5']","['d4d5', 'd5']","['e2e3', 'e3']"
24,rnbqkbnr/ppp2ppp/3p4/4P3/8/8/PPP1PPPP/RNBQKBNR w KQkq - 0 3,Englund Gambit: Hartlaub-Charlick Gambit,A40,d7d6,d6,5582,660,4530,"['e5d6', 'exd6']","['g1f3', 'Nf3']","['e2e4', 'e4']"
25,rnbqkbnr/pppppp1p/6p1/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Modern Defense,B06,g7g6,g6,342181,32187,314229,"['d2d4', 'd4']","['g1f3', 'Nf3']","['f1c4', 'Bc4']"
26,rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 1 3,French Defense: Paulsen Variation,C10,b1c3,Nc3,180612,19501,169709,"['g8f6', 'Nf6']","['f8b4', 'Bb4']","['d5e4', 'dxe4']"
27,rnbqkb1r/ppp2ppp/4pn2/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq - 2 4,French Defense: Classical Variation,C11,g8f6,Nf6,58433,6812,61530,"['e4e5', 'e5']","['c1g5', 'Bg5']","['e4d5', 'exd5']"
